Folder,Subfolder (H value),File,Central enthalpy,Central proper baryon density,Central proper energy density,Central pressure,Coordinate equatorial radius,Coordinate polar radius,Baryon mass,Gravitational mass,Omega,f,Rotation period,Compactness,Quadrupole moment Q,Angular momentum J,Moment of inertia,Circumferential equatorial radius,Circumferential polar radius,Surface area,Mean radius,Coordinate equatorial radius r_eq,Redshift at the equator (forward),Redshift at the equator (backward),Redshift at the pole
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.1410,result.txt,0.141,2.748438084,2.931176459,0.2334428938,18.18443342,10.84152122,1.393079935,1.313330195,4498.76068,716,1.396648045,0.09588913347,-0.3303263282,1.145649236,2.241790324,20.2252756,16.2987545,3682.298855,17.11806158,18.18443342,-0.2146109426,0.5833415753,0.1786540269
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.1469,result.txt,0.1469,2.832528541,3.028288294,0.2524542763,16.74534218,10.82559548,1.431415253,1.346233521,4498.76068,716,1.396648045,0.1054741314,-0.3194640036,1.163929532,2.277560952,18.84796019,15.7605077,3423.060616,16.50449965,16.74534218,-0.1874204143,0.5693709544,0.1845437939
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.1527,result.txt,0.1527,2.916057747,3.125315642,0.2718199967,16.08904304,10.80380429,1.468605135,1.377900138,4498.76068,716,1.396648045,0.111511303,-0.3105220322,1.183221732,2.315311657,18.24688631,15.50826372,3298.130123,16.20052024,16.08904304,-0.1737821653,0.5684926295,0.190446757
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.1586,result.txt,0.1586,3.000197618,3.223625794,0.2922131043,15.61802782,10.78443224,1.50422091,1.408177261,4498.76068,716,1.396648045,0.1166451618,-0.3001049427,1.199814708,2.347780558,17.8270922,15.32867096,3208.571274,15.97904845,15.61802782,-0.1633606415,0.5703937043,0.1962129086
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.1644,result.txt,0.1644,3.082155488,3.319948347,0.3129442375,15.24075909,10.75523419,1.539582406,1.438047056,4498.76068,716,1.396648045,0.121343634,-0.2927492971,1.218730523,2.38479476,17.50032094,15.18380153,3137.016773,15.79986908,15.24075909,-0.1545229843,0.5739164841,0.2020057147
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.1703,result.txt,0.1703,3.1648117,3.417661608,0.3347306019,14.91700875,10.72585897,1.574227777,1.467192611,4498.76068,716,1.396648045,0.1257789536,-0.2849086668,1.236426721,2.419422431,17.22539014,15.06032561,3076.1181,15.64575663,14.91700875,-0.1465736774,0.578266898,0.2077873598
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.1762,result.txt,0.1762,3.259582205,3.530377786,0.3572495382,14.63468201,10.69729448,1.607324522,1.494923296,4498.76068,716,1.396648045,0.1299393151,-0.2762567358,1.252031015,2.449956695,16.98901695,14.95381301,3023.638319,15.51172113,14.63468201,-0.1393558783,0.5830030375,0.213423242
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.1820,result.txt,0.182,3.362004524,3.652889752,0.3802185946,14.38854421,10.66467956,1.638832178,1.521167276,4498.76068,716,1.396648045,0.1338153431,-0.2689912156,1.267367735,2.479967373,16.78653172,14.85991018,2977.931574,15.39403343,14.38854421,-0.1328061394,0.5880402975,0.2188864238
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.1879,result.txt,0.1879,3.466764296,3.77893286,0.4044561231,14.16286375,10.62813345,1.669575646,1.546624777,4498.76068,716,1.396648045,0.1375555759,-0.2625467662,1.282341113,2.509267069,16.60338648,14.77211889,2935.77429,15.28468171,14.16286375,-0.126584513,0.593368315,0.2243318337
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.1937,result.txt,0.1937,3.570297449,3.904230972,0.4291536803,13.96025033,10.59092607,1.698101481,1.570127178,4498.76068,716,1.396648045,0.1410330559,-0.256285589,1.295294763,2.534614589,16.44007626,14.69177258,2897.619721,15.18503378,13.96025033,-0.1208333521,0.598607492,0.229519359
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.1996,result.txt,0.1996,3.674285625,4.030816309,0.455171534,13.77027741,10.55491945,1.725043005,1.592275576,4498.76068,716,1.396648045,0.1443687407,-0.2489105927,1.305548995,2.554679926,16.28677057,14.61612097,2861.832562,15.09097079,13.77027741,-0.1153181459,0.6037486598,0.2345653346
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.2055,result.txt,0.2055,3.778036171,4.157861511,0.4820919816,13.59193347,10.51715593,1.750578235,1.613149148,4498.76068,716,1.396648045,0.1475637186,-0.2417614541,1.314379065,2.571958484,16.14302225,14.54316,2827.776723,15.0009107,13.59193347,-0.1100205211,0.6088297852,0.2394845464
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.2113,result.txt,0.2113,3.880451507,4.284007494,0.509447836,13.42641827,10.47830106,1.774858475,1.632885932,4498.76068,716,1.396648045,0.1506068909,-0.2352062794,1.322552887,2.587952904,16.01035337,14.4740584,2795.928,14.91619525,13.42641827,-0.1049803094,0.6138747092,0.2442649355
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.2172,result.txt,0.2172,3.985054238,4.413603646,0.5381952445,13.2663487,10.43709953,1.798349188,1.651857074,4498.76068,716,1.396648045,0.1535879348,-0.2288378243,1.329711269,2.601960324,15.88200323,14.40514018,2764.606981,14.83241158,13.2663487,-0.100007123,0.618939822,0.2490258311
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.2230,result.txt,0.223,4.084386967,4.537390701,0.5673601618,13.11700078,10.39513286,1.820682935,1.669813964,4498.76068,716,1.396648045,0.1564314917,-0.2230179746,1.336296372,2.614845962,15.76281633,14.33951426,2735.153237,14.75318877,13.11700078,-0.09525871467,0.6239471084,0.2536525148
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.2289,result.txt,0.2289,4.185057106,4.663582346,0.5979397113,12.97132076,10.35102927,1.842282408,1.687088915,4498.76068,716,1.396648045,0.1592274358,-0.2172953073,1.341820429,2.625655359,15.64623986,14.27355381,2705.944762,14.67420329,12.97132076,-0.09054531285,0.6289535468,0.2582660349
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.2347,result.txt,0.2347,4.284232825,4.788630092,0.6289080709,12.83403872,10.30844816,1.862094115,1.702896123,4498.76068,716,1.396648045,0.1618659924,-0.2112170582,1.345347589,2.632557257,15.53540057,14.21029465,2678.137775,14.59861064,12.83403872,-0.0860461008,0.6336696744,0.2626511199
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.2406,result.txt,0.2406,4.385330814,4.916849473,0.6613445102,12.7004276,10.26555557,1.881349031,1.718231815,4498.76068,716,1.396648045,0.1644675106,-0.2050226539,1.348085368,2.637914503,15.42735774,14.14808893,2651.002559,14.5244649,12.7004276,-0.08159078204,0.6383923781,0.2670236912
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.2465,result.txt,0.2465,4.483599229,5.042216149,0.694724747,12.57201457,10.22212959,1.900061667,1.733083391,4498.76068,716,1.396648045,0.16701045,-0.1991684962,1.350611677,2.642857949,15.32377361,14.08746398,2624.823904,14.45257242,12.57201457,-0.07722411311,0.6431293772,0.2713610827
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.2523,result.txt,0.2523,4.5798495,5.165730041,0.7284541672,12.44840757,10.17789939,1.917449028,1.74677424,4498.76068,716,1.396648045,0.1694422553,-0.1935581223,1.35191407,2.645406454,15.22316549,14.02699679,2599.064873,14.38148153,12.44840757,-0.072974923,0.6476636853,0.2755512192
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.2582,result.txt,0.2582,4.677851767,5.292230069,0.7637061267,12.32656656,10.13238485,1.934568959,1.760185619,4498.76068,716,1.396648045,0.171863279,-0.1881095355,1.352887163,2.647310587,15.12395192,13.96633692,2573.483013,14.31053008,12.32656656,-0.06871609424,0.652263735,0.2797778539
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.2640,result.txt,0.264,4.774284737,5.417434771,0.7992960019,12.21111137,10.0874533,1.951003257,1.773018813,4498.76068,716,1.396648045,0.174195453,-0.1830910994,1.353831916,2.649159268,15.03025824,13.90816689,2549.175847,14.24278654,12.21111137,-0.06460216247,0.6568160407,0.2839113298
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.2699,result.txt,0.2699,4.870584986,5.543198938,0.8364562512,12.09762276,10.04153199,1.967178661,1.785602325,4498.76068,716,1.396648045,0.1765127564,-0.1782575992,1.354547585,2.650559678,14.93820995,13.85008939,2525.135575,14.1754684,12.09762276,-0.0604896753,0.66143117,0.2880741007
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.2758,result.txt,0.2758,4.966305362,5.668947301,0.8745787763,11.98719371,9.995152138,1.982861011,1.797742607,4498.76068,716,1.396648045,0.1787857274,-0.1736503405,1.354956636,2.651360104,14.84856822,13.79259045,2501.562134,14.1091456,11.98719371,-0.05642483468,0.6660354005,0.2922092643
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.2816,result.txt,0.2816,5.060434463,5.793330712,0.9130025426,11.88054696,9.948954162,1.997523678,1.809009818,4498.76068,716,1.396648045,0.1809699673,-0.1691480352,1.354477178,2.650421908,14.76129057,13.73564752,2478.439836,14.04378779,11.88054696,-0.05245960057,0.6704671697,0.296218839
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.2875,result.txt,0.2875,5.156221045,5.920646976,0.953062791,11.7753447,9.902209539,2.011803428,1.819956723,4498.76068,716,1.396648045,0.1831366319,-0.1646137797,1.353473042,2.648457028,14.6749203,13.67873753,2455.506658,13.97866271,11.7753447,-0.04849442317,0.6749094901,0.3002369681
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.2933,result.txt,0.2933,5.249474365,6.045321691,0.9934096771,11.67496457,9.8571939,2.025127791,1.830176524,4498.76068,716,1.396648045,0.1852116782,-0.1599961341,1.351760905,2.645106742,14.59199011,13.62409727,2433.602591,13.91617551,11.67496457,-0.04466783092,0.6791700106,0.3041088467
Nrotstar_(Glendenning100)_(0.06-0.68)_4499Hz_nrot,0.2992,result.txt,0.2992,5.343569872,6.171862112,1.0354346,11.57583036,9.811531107,2.038240425,1.840211463,4498.76068,716,1.396648045,0.1872790109,-0.1555038316,1.349878317,2.641422921,14.5100376,13.56952541,2411.902805,13.85399317,11.57583036,-0.04083255525,0.6834804822,0.3080096062
